ds,yhat,yhat_lower,yhat_upper
2019-02-27,3329.135464588823,1320.907001980703,5098.221473787588
2019-02-28,3453.5922632176785,1495.378909734525,5304.938614861943
2019-03-01,3344.1491779639123,1461.6482572477719,5328.044412410854
2019-03-02,4282.085305883456,2227.9319109172766,6085.195496259323
2019-03-03,3661.2689286676055,1799.697955047333,5562.071484519361
2019-03-04,3114.7588346132784,1336.760702390669,5086.261933720088
2019-03-05,3907.8805936459694,1987.4537387066403,5829.122119966407
2019-03-06,3311.7048399789237,1312.754142760624,5078.17649546373
2019-03-07,3436.1616386033847,1589.1007487914999,5444.273698062437
2019-03-08,3326.7185533450634,1431.5334529134975,5225.952458263243
2019-03-09,4264.6546812604265,2297.3081435053004,6180.1551053218855
2019-03-10,3643.8383040374474,1717.331791556317,5602.988028946761
2019-03-11,3097.328209973997,1276.3208252603351,4917.740715156812
2019-03-12,3890.4499690021435,1974.7727783548482,5802.674419481598
2019-03-13,3294.274215329352,1266.218772852129,5279.305312745984
2019-03-14,3418.731013950789,1409.261762281833,5285.496587576939
2019-03-15,3309.287928685944,1456.1243225865346,5196.287163108819
2019-03-16,4247.2240565973625,2372.259499381935,5989.314815648308
2019-03-17,3626.4076793752433,1778.1649425015896,5569.763825391845
2019-03-18,3079.8975853118427,1133.1795321719453,4967.168626065716
2019-03-19,3873.019344337329,1888.1269089061554,5839.556480948481
2019-03-20,3276.843590663921,1382.2200543049642,5093.24972127387
2019-03-21,3401.3003892854144,1591.5034257408324,5269.29024825952
2019-03-22,3291.8573040214455,1343.9934447502155,5245.410805650026
2019-03-23,4229.793431933535,2426.503505243985,6030.46043210823
2019-03-24,3608.9770547097655,1719.149620045242,5561.4332709928685
2019-03-25,3062.466960648051,1115.1313638183308,4911.212643848532
2019-03-26,3855.5887196703143,2007.3664128880207,5668.205352171095
2019-03-27,3259.4129659985615,1366.0236397214885,5127.317734914238
2019-03-28,3383.8697646197697,1476.5983863002418,5156.711976789636
2019-03-29,3274.4266793569477,1272.9992816704453,5012.503663393314
2019-03-30,4212.362807267679,2249.8182141382813,6158.586890393516
2019-03-31,3591.5464300420495,1692.7891934690194,5513.515322246788
2019-04-01,3045.0363359797693,1137.0923811367727,4843.125579839879
2019-04-02,3838.158095005501,2035.8454058404616,5701.369630160086
2019-04-03,3241.98234133313,1301.878895669891,5186.117247145012
2019-04-04,3366.4391399541255,1382.9451327281997,5179.00665429892
2019-04-05,3256.996054692449,1384.9137396955784,5129.948315046799
2019-04-06,4194.932182603761,2301.231256519164,5969.956021869073
2019-04-07,3574.115805380353,1733.895971143374,5271.724791817091
2019-04-08,3027.605711311969,1076.1550592376054,4938.338734318546
2019-04-09,3820.7274703406865,1841.2403557335435,5650.888706164045
2019-04-10,3224.551716667228,1287.7194770564745,5183.5017528027465
2019-04-11,3349.008515289006,1590.5106485435567,5207.901460716166
2019-04-12,3239.565430024865,1222.832366179052,5055.1209822443625
2019-04-13,4177.501557937906,2226.5606693417976,6080.613370710894
2019-04-14,3556.685180712637,1668.709088618731,5476.844345115099
2019-04-15,3010.175086648178,1140.1210332546668,4767.3355156514335
2019-04-16,3803.296845675873,1941.6117567947626,5673.825621144132
2019-04-17,3207.1210920028107,1408.233970860693,5026.432388255289
2019-04-18,3331.5778906233777,1546.1099242489258,5169.177837810187
2019-04-19,3222.134805361784,1345.0933708202658,4950.070129507851
2019-04-20,4160.070933272049,2225.894467398534,6077.859154793995
2019-04-21,3539.254556047159,1677.3018754158231,5363.044822618887
2019-04-22,2992.744461984146,1030.4338364206494,4932.218652727792
2019-04-23,3785.8662210088582,1800.778858065731,5746.6826663399925
2019-04-24,3189.690467336908,1331.3487324113505,4994.84169433386
2019-04-25,3314.1472659582573,1536.2425799887628,5105.872562194518
2019-04-26,3204.7041806958687,1290.0114711617425,5018.867648788647
2019-04-27,4142.640308606194,2297.678201749919,6101.467320493403
2019-04-28,3521.8239313847685,1608.989452959775,5373.611954046284
2019-04-29,2975.31383731835,1177.8882023307528,4788.837657128608
2019-04-30,3768.4355963454186,1920.8427909358425,5579.522927171978
2019-05-01,3172.259842671006,1406.770752493192,5100.902505173453
2019-05-02,3296.7166412920883,1367.871692894088,5184.368601282566
2019-05-03,3187.273556028284,1322.936634884633,5017.385232264667
2019-05-04,4125.209683942277,2256.1174202850743,6009.971883863051
2019-05-05,3504.3933067192897,1559.1464478272578,5356.535033877016
2019-05-06,2957.883212654559,1039.2570602490387,4923.085873807189
2019-05-07,3751.00497167923,1909.7194549613887,5595.642286664354
2019-05-08,3154.829218005104,1271.3881839682251,5109.72581464244
2019-05-09,3279.2860166272385,1394.3905647662734,5071.183443166224
2019-05-10,3169.842931363786,1217.4555681036027,5007.669482954931
2019-05-11,4107.779059274391,2193.588291030044,5849.257071576368
2019-05-12,3486.9626820538124,1544.280643601974,5336.1000206846165
2019-05-13,2940.4525879867583,993.835933628384,4879.930725236802
2019-05-14,3733.5743470122156,1876.8642394441995,5651.066446848844
2019-05-15,3137.3985933412287,1442.5791730099804,5117.623543112134
2019-05-16,3261.8553919615943,1390.4853750387617,5064.17931819892
2019-05-17,3152.4123066978714,1258.1986961122286,4966.471332984466
2019-05-18,4090.3484346105643,2225.781940009914,5897.478667020412
2019-05-19,3469.532057389878,1590.4239717489227,5413.768423773043
2019-05-20,2923.021963322726,958.4406559685914,4846.763220743466
2019-05-21,3716.1437223474018,1851.8095695500067,5541.605113018626
2019-05-22,3119.9679686753257,1303.8849336065955,5057.774915837804
2019-05-23,3244.42476729595,1373.6105499031569,5139.931158280476
2019-05-24,3134.9816820347896,1258.234137630235,5246.846538237513
2019-05-25,4072.9178099466462,2194.4790815807673,5929.910564842542
2019-05-26,3452.1014327221615,1622.3295214323507,5301.623690115514
2019-05-27,2905.591338656931,1049.830013123246,4823.16359241789
2019-05-28,3698.7130976812136,1806.733517096585,5578.453892712597
2019-05-29,3102.537344009895,1343.6639354806714,4967.071271611115
2019-05-30,3226.994142630576,1248.8050763790147,4952.359601542169
2019-05-31,3117.5510573672054,1182.1285305376443,4888.3081937434445
2019-06-01,4055.487185278672,2281.41186861687,5940.118792255507
2019-06-02,3434.6708080566837,1645.2253273674992,5224.932847197667
2019-06-03,2888.160713991135,1127.4858851046047,4656.704079232861
2019-06-04,3681.2824730177736,1727.2800651510051,5619.513330407629
2019-06-05,3085.1067193445347,1188.1177202063295,4983.263900055816
2019-06-06,3209.5635179654555,1421.7845123395928,5070.937086383132
2019-06-07,3100.1204327027076,1198.0542286600366,5088.834141297875
2019-06-08,4038.0565606148443,2186.469823164498,5877.963529452583
2019-06-09,3417.2401833889676,1482.2124659629312,5280.056774225311
2019-06-10,2870.730089325098,943.5116590744382,4578.798406245791
2019-06-11,3663.8518483513067,1795.4451862030612,5548.628344128702
